,Frame,Num_detections,Yolo_det,sort_tracks,sort_track_nums,iou_RFID,read_outs
56,56,2,"[[365, 17, 492, 131, 0.8605], [23, 114, 103, 247, 0.8397]]","[[368, 21, 489, 126, 2], [16, 117, 104, 244, 1]]","[2, 1]",{},{}
57,57,2,"[[10, 115, 100, 246, 0.9668], [361, 17, 497, 136, 0.8208]]","[[366, 21, 491, 130, 2], [12, 116, 101, 244, 1]]","[2, 1]",{},{}
58,58,2,"[[11, 115, 99, 246, 0.934], [362, 19, 495, 141, 0.9085]]","[[364, 22, 492, 134, 2], [11, 116, 99, 244, 1]]","[2, 1]",{},{}
59,59,2,"[[20, 115, 107, 249, 0.9838], [364, 18, 489, 151, 0.8305]]","[[363, 23, 491, 141, 2], [16, 116, 104, 246, 1]]","[2, 1]",{},{}
60,60,2,"[[18, 119, 107, 244, 0.993], [349, 33, 494, 154, 0.8439]]","[[357, 30, 489, 149, 2], [17, 117, 106, 245, 1]]","[2, 1]",{},{}
61,61,2,"[[356, 45, 486, 148, 0.9986], [12, 112, 98, 249, 0.8933]]","[[355, 37, 487, 152, 2], [13, 115, 101, 246, 1]]","[2, 1]",{},{}
62,62,2,"[[352, 43, 495, 145, 0.9966], [9, 110, 102, 252, 0.9721]]","[[355, 39, 490, 150, 2], [11, 113, 100, 248, 1]]","[2, 1]",{},{}
63,63,2,"[[357, 44, 512, 158, 0.9942], [20, 116, 105, 246, 0.9871]]","[[359, 43, 500, 155, 2], [15, 114, 104, 247, 1]]","[2, 1]",{},{}
64,64,2,"[[18, 117, 107, 244, 0.9895], [371, 45, 512, 160, 0.9478]]","[[367, 45, 508, 158, 2], [17, 114, 105, 246, 1]]","[2, 1]",{},{}
65,65,2,"[[16, 123, 110, 238, 0.9962], [384, 44, 512, 166, 0.3203]]","[[375, 47, 513, 162, 2], [17, 117, 107, 243, 1]]","[2, 1]",{},{}
66,66,2,"[[18, 119, 109, 243, 0.9983], [407, 63, 512, 200, 0.8171]]","[[390, 63, 519, 182, 2], [18, 117, 108, 243, 1]]","[2, 1]",{},{}
67,67,2,"[[19, 119, 108, 240, 0.9921], [411, 64, 512, 202, 0.446]]","[[399, 68, 520, 192, 2], [18, 117, 108, 242, 1]]","[2, 1]",{},{}
68,68,2,"[[18, 120, 106, 241, 0.994], [426, 56, 512, 211, 0.9638]]","[[410, 69, 523, 198, 2], [17, 118, 107, 242, 1]]","[2, 1]",{},{}
69,69,2,"[[442, 66, 509, 206, 0.9992], [17, 117, 106, 244, 0.9981]]","[[423, 71, 523, 202, 2], [17, 118, 106, 242, 1]]","[2, 1]",{},{}
70,70,2,"[[425, 72, 512, 214, 0.9988], [18, 119, 104, 242, 0.9984]]","[[423, 75, 519, 208, 2], [17, 118, 105, 242, 1]]","[2, 1]",{},{}
71,71,2,"[[15, 113, 97, 245, 0.9989], [428, 71, 511, 226, 0.9983]]","[[424, 78, 517, 216, 2], [14, 116, 101, 242, 1]]","[2, 1]",{},{}
72,72,2,"[[428, 72, 510, 229, 0.9998], [14, 111, 98, 247, 0.9988]]","[[425, 79, 515, 222, 2], [13, 114, 99, 243, 1]]","[2, 1]",{},{}
73,73,2,"[[422, 78, 512, 220, 0.9995], [12, 115, 101, 243, 0.9986]]","[[424, 79, 514, 222, 2], [12, 114, 99, 243, 1]]","[2, 1]",{},{}
74,74,2,"[[13, 115, 100, 243, 0.9989], [418, 73, 512, 226, 0.998]]","[[421, 78, 512, 223, 2], [12, 114, 99, 243, 1]]","[2, 1]",{},{}
75,75,2,"[[18, 121, 104, 239, 0.9991], [420, 73, 512, 224, 0.9957]]","[[421, 77, 512, 224, 2], [15, 116, 102, 242, 1]]","[2, 1]",{},{}
76,76,2,"[[18, 123, 104, 238, 0.9991], [417, 73, 512, 227, 0.8651]]","[[419, 76, 512, 225, 2], [17, 118, 103, 241, 1]]","[2, 1]",{},{}
77,77,2,"[[17, 122, 105, 239, 0.9991], [422, 74, 512, 228, 0.7653]]","[[421, 76, 512, 227, 2], [17, 119, 104, 240, 1]]","[2, 1]",{},{}
78,78,2,"[[17, 123, 104, 240, 0.9961], [419, 103, 512, 231, 0.2884]]","[[420, 90, 512, 234, 2], [17, 121, 104, 241, 1]]","[2, 1]",{},{}
79,79,2,"[[435, 110, 506, 222, 0.9985], [14, 117, 98, 246, 0.9981]]","[[426, 98, 512, 233, 2], [14, 120, 100, 242, 1]]","[2, 1]",{},{}
80,80,2,"[[13, 118, 97, 246, 0.9986], [435, 106, 506, 243, 0.9812]]","[[429, 104, 511, 240, 2], [13, 119, 98, 243, 1]]","[2, 1]",{},{}
81,81,2,"[[12, 119, 98, 242, 0.9843], [438, 117, 503, 240, 0.9799]]","[[432, 111, 509, 243, 2], [12, 119, 98, 242, 1]]","[2, 1]",{},{}
